product_desc,parent,child
root,,root
Mobile Phones,root,Mobile Phones
TVs,root,TVs
CPUs,root,CPUs
Digital Cameras,root,Digital Cameras
Microwaves,root,Microwaves
Dishwashers,root,Dishwashers
Washing Machines,root,Washing Machines
Freezers,root,Freezers
Fridge Freezers,root,Fridge Freezers
Fridges,root,Fridges
PID:1,Mobile Phones,apple iphone 8 plus 64gb silver
PID:2,Mobile Phones,apple iphone 8 plus 64 gb spacegrau
PID:3,Mobile Phones,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold
PID:4,Mobile Phones,apple iphone 8 plus 64gb space grey
PID:5,Mobile Phones,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free
PID:6,Mobile Phones,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free
PID:7,Mobile Phones,apple iphone 8 plus 64 gb space grey
PID:8,Mobile Phones,apple iphone 8 plus 64gb space grey
PID:9,Mobile Phones,apple iphone 8 plus 64gb space grey
PID:10,Mobile Phones,apple iphone 8 plus 64gb space grey
PID:11,Mobile Phones,apple iphone 8 plus 5.5 single sim 4g 64gb silver
PID:12,Mobile Phones,sim free iphone 8 plus 64gb by apple space grey
PID:13,Mobile Phones,apple iphone 8 plus 64gb gold smartphone
PID:14,Mobile Phones,apple iphone 8 plus 5.5 single sim 4g 64gb grey
PID:15,Mobile Phones,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free
PID:16,Mobile Phones,apple iphone 8 plus 64 gb silver
PID:17,Mobile Phones,apple iphone 8 plus 64gb silver unlocked
PID:18,Mobile Phones,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver
PID:19,Mobile Phones,iphone 8 plus sim free water dust resistant 64gb silver by apple
PID:20,Mobile Phones,iphone 8 plus 64gb space grey
PID:21,Mobile Phones,apple iphone 8 plus
PID:22,Mobile Phones,sim free iphone 8 plus 64gb mobile phone space grey
PID:23,Mobile Phones,apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock
PID:24,Mobile Phones,apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold
PID:25,Mobile Phones,apple iphone 7 plus 32 gb rose gold
PID:26,Mobile Phones,apple iphone 7 plus 32gb rose gold
PID:27,Mobile Phones,apple iphone 7 plus 32gb silver
PID:28,Mobile Phones,apple iphone 7 plus silver 32gb 4g unlocked sim free
PID:29,Mobile Phones,apple iphone 7 plus silver 32gb 4g unlocked sim free
PID:30,Mobile Phones,apple iphone 7 plus jet black 32 gb
PID:31,Mobile Phones,apple iphone 7 plus 32gb silver
PID:32,Mobile Phones,apple iphone 7 plus 32gb black
PID:33,Mobile Phones,apple iphone 7 plus 32gb black
PID:34,Mobile Phones,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver
PID:35,Mobile Phones,iphone 7 plus 32gb black
PID:36,Mobile Phones,sim free iphone 7 plus 32gb by apple black
PID:37,Mobile Phones,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold
PID:38,Mobile Phones,apple iphone 7 plus 32gb schwarz smartphone
PID:39,Mobile Phones,apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free
PID:40,Mobile Phones,sim free iphone 7 plus 32gb mobile phone silver
PID:41,Mobile Phones,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c
PID:42,Mobile Phones,apple iphone 7 plus 32gb rosegold 3 brand new
PID:43,Mobile Phones,iphone 7 plus 32gb silver
PID:44,Mobile Phones,apple iphone 7 plus
PID:45,Mobile Phones,iphone 7 plus 32gb rose gold mnqq2b/a wc01
PID:46,Mobile Phones,apple grade b iphone 7 32gb gold handset only
PID:47,Mobile Phones,grade b apple iphone 7 32gb silver handset only
PID:48,Mobile Phones,apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black
PID:49,Mobile Phones,apple iphone 7 32 gb matt schwarz
PID:50,Mobile Phones,iphone 7 32gb gold
PID:51,Mobile Phones,apple iphone 7 black 32 gb
PID:52,Mobile Phones,apple iphone 7 32gb silver
PID:53,Mobile Phones,apple iphone 7 32gb black
PID:54,Mobile Phones,apple iphone 7 32gb silver unlocked
PID:55,Mobile Phones,apple iphone 7 32gb rose gold unlocked
PID:56,Mobile Phones,apple iphone 7 32gb schwarz smartphone
PID:57,Mobile Phones,apple iphone 7 32gb gold
PID:58,Mobile Phones,apple iphone 7 black 4.7 32gb 4g unlocked sim free
PID:59,Mobile Phones,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold
PID:60,Mobile Phones,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black
PID:61,Mobile Phones,sim free iphone 7 32gb mobile phone jet black
PID:62,Mobile Phones,apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black
PID:63,Mobile Phones,apple iphone 7 32gb jet black
PID:64,Mobile Phones,apple iphone 7 32gb silver unlocked brand new
PID:65,Mobile Phones,iphone 7 32gb black
PID:66,Mobile Phones,apple iphone 7
PID:67,Mobile Phones,iphone 7 32gb black mn8x2b/a wc01
PID:68,Mobile Phones,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black
PID:69,Mobile Phones,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black
PID:70,Mobile Phones,grade b apple iphone 8 64gb gold handset only
PID:71,Mobile Phones,grade b apple iphone 8 64gb gold handset only
PID:72,Mobile Phones,apple iphone 8 64gb space grey
PID:73,Mobile Phones,apple iphone 8 smartphone 64gb 4.7 zoll spacegrau
PID:74,Mobile Phones,apple iphone 8 64 gb silber
PID:75,Mobile Phones,apple iphone 8 64gb schwarz smartphone
PID:76,Mobile Phones,apple iphone 8 space grey 4.7 64gb 4g unlocked sim free
PID:77,Mobile Phones,apple iphone 8 64 gb space grey
PID:78,Mobile Phones,apple iphone 8 64gb gold
PID:79,Mobile Phones,apple iphone 8 64gb gold
PID:80,Mobile Phones,apple iphone 8 64gb space grey
PID:81,Mobile Phones,apple iphone 8 64gb space grey
PID:82,Mobile Phones,apple iphone 8 4.7 single sim 4g 64gb silver
PID:83,Mobile Phones,apple iphone 8 4.7 single sim 4g 64gb grey
PID:84,Mobile Phones,apple iphone 8 64 gb spaceship grey
PID:85,Mobile Phones,apple iphone 8 4.7 inch multi touch retina hd display 64gb wlan wwa
PID:86,Mobile Phones,iphone 8 64gb space grey
PID:87,Mobile Phones,apple iphone 8
PID:88,Mobile Phones,sim free iphone 8 64gb mobile phone space grey
PID:89,Mobile Phones,apple mq6g2b/a 4.7 iphone 8 64gb space grey in stock uk spec stock
PID:90,Mobile Phones,apple iphone x 64gb space grey
PID:91,Mobile Phones,apple mqac2b/a iphone x 64gb 4.8 12mp sim free smartphone in space grey
PID:92,Mobile Phones,apple iphone x 64 gb spacegrau
PID:93,Mobile Phones,apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey
PID:94,Mobile Phones,apple iphone x 64gb grau smartphone
PID:95,Mobile Phones,apple iphone x 64 gb silver
PID:96,Mobile Phones,apple iphone x space grey 5.8 64gb 4g unlocked sim free
PID:97,Mobile Phones,apple iphone x space grey 5.8 64gb 4g unlocked sim free
PID:98,Mobile Phones,iphone x 64gb silver
PID:99,Mobile Phones,apple iphone x 64 gb silver
PID:100,Mobile Phones,apple iphone x 64gb space grey
PID:101,Mobile Phones,apple iphone x 64gb silver
PID:102,Mobile Phones,iphone x 64gb space grey
PID:103,Mobile Phones,apple iphone x 5.8 single sim 4g 64gb silver
